Harry Potter and the Chamber of Secrets,J. K. Rowling,2/56
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,4/126
Harry Potter and the Goblet of Fire,J. K. Rowling,4/107
Harry Potter and the Order of the Phoenix,J. K. Rowling,4/100
Harry Potter and the Half-Blood Prince,J. K. Rowling,4/61
Harry Potter and the Deathly Hallows,J. K. Rowling,6/80
The Alchemist,Paulo Coelho,1/25
The Catcher in the Rye,J. D. Salinger,3/121
The Bridges of Madison County,Robert James Waller,6/21
Ben-Hur: A Tale of the Christ,Lew Wallace,5/132
You Can Heal Your Life,Louise Hay,1/16
One Hundred Years of Solitude,Gabriel Garca Mrquez,3/86
Lolita,Vladimir Nabokov,6/127
Heidi,Johanna Spyri,5/54
The Common Sense Book of Baby and Child Care,Benjamin Spock,3/104
Anne of Green Gables,Lucy Maud Montgomery,6/10
Black Beauty,Anna Sewell,2/73
The Name of the Rose,Umberto Eco,5/123
The Eagle Has Landed,Jack Higgins,6/129
Watership Down,Richard Adams,5/122
The Hite Report,Shere Hite,3/126
Charlotte's Web,E. B. White; illustrated byGarth Williams,2/130
The Tale of Peter Rabbit,Beatrix Potter,6/78
Jonathan Livingston Seagull,Richard Bach,6/102
The Very Hungry Caterpillar,Eric Carle,2/116
A Message to Garcia,Elbert Hubbard,3/118
To Kill a Mockingbird,Harper Lee,5/32
Flowers in the Attic,V. C. Andrews,7/73
Cosmos,Carl Sagan,1/30
Sophie's World,Jostein Gaarder,5/49
Angels & Demons,Dan Brown,4/69
Kane and Abel,Jeffrey Archer,4/121
How the Steel Was Tempered,Nikolai Ostrovsky,6/60
War and Peace,Leo Tolstoy,3/64
The Diary of Anne Frank,Anne Frank,4/99
Your Erroneous Zones,Wayne Dyer,7/55
The Thorn Birds,Colleen McCullough,2/20
The Purpose Driven Life,Rick Warren,1/97
The Kite Runner,Khaled Hosseini,6/7
Valley of the Dolls,Jacqueline Susann,3/28
The Great Gatsby,F. Scott Fitzgerald,1/33
Gone with the Wind,Margaret Mitchell,2/5
Rebecca,Daphne du Maurier,6/64
Nineteen Eighty-Four,George Orwell,1/20
The Revolt of Mamie Stover,William Bradford Huie,2/75
The Girl with the Dragon Tattoo,Stieg Larsson,2/44
The Lost Symbol,Dan Brown,4/62
The Hunger Games,Suzanne Collins,7/100
James and the Giant Peach,Roald Dahl,6/99
The Young Guard,Alexander Alexandrovich Fadeyev,2/28
Who Moved My Cheese?,Spencer Johnson,6/48
A Brief History of Time,Stephen Hawking,4/86
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,6/49
Lust for Life,Irving Stone,3/46
The Wind in the Willows,Kenneth Grahame,3/92
The Happy Hooker: My Own Story,Xaviera Hollander,6/90
Jaws,Peter Benchley,6/20
Love You Forever,Robert Munsch,6/66
The Women's Room,Marilyn French,5/16
What to Expect When You're Expecting,Arlene EisenbergandHeidi Murkoff,2/72
Adventures of Huckleberry Finn,Mark Twain,3/114
The Secret Diary of Adrian Mole- Aged 13 3/4,Sue Townsend,1/56
Pride and Prejudice,Jane Austen,5/21
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,4/27
The Good Soldier Svejk,Jaroslav Haek,7/90
Where the Wild Things Are,Maurice Sendak,6/19
The Power of Positive Thinking,Norman Vincent Peale,2/8
The Secret,Rhonda Byrne,2/40
Fear of Flying,Erica Jong,5/12
Dune,Frank Herbert,3/83
Charlie and the Chocolate Factory,Roald Dahl,2/20
The Naked Ape,Desmond Morris,5/36
